split,predictor,skill_surface_mean,skill_surface_std,skill_surface_min,skill_surface_max,skill_rootzone_mean,skill_rootzone_std,an_rmse_surface_mean,an_rmse_rootzone_mean,inc_rmse_surface_mean,inc_rmse_rootzone_mean,n_samples
source_train,zero_increment,0.0,0.0,0.0,0.0,0.0,0.0,0.009943031383616359,0.0009092200161777912,0.009943031381707615,0.0009092200161777912,10
source_val,zero_increment,0.0,0.0,0.0,0.0,0.0,0.0,0.004219120088644318,0.00042061043607984647,0.004219120087232008,0.00042061043607984647,10
target_query,zero_increment,0.0,0.0,0.0,0.0,0.0,0.0,0.0029802610471223205,0.0005060680186272537,0.0029802610471223205,0.0005060680186272537,10
