split,n_samples_total,n_samples_checked,active_regions,loss_mask_fraction,metric_mask_fraction,loss_metric_ratio,fc_surface_mean,fc_surface_std,an_surface_mean,an_surface_std,inc_surface_mean,inc_surface_std,inc_surface_p50,inc_surface_p99,abs_inc_surface_mean,abs_inc_surface_p95,abs_inc_surface_p99,fc_rootzone_mean,inc_rootzone_mean,inc_rootzone_std,inc_rootzone_p50,abs_inc_rootzone_mean,abs_inc_rootzone_p99,forecast_surface_rmse_vs_analysis,forecast_rootzone_rmse_vs_analysis,n_loss_valid_pixels,n_metric_valid_pixels,time_range_start,time_range_end,n_unique_months,n_unique_seasons,inc_surface_mean_by_season,inc_rootzone_mean_by_season
source_train,16277,10,US-R2|US-R3|US-R4|US-R5|US-R6,0.210113525390625,0.210113525390625,1.0,0.15512387176283596,0.14314880085114384,0.1546412979735244,0.14391364499692877,-0.0005351739610986988,0.010436767318495462,0.0,0.0338028481602669,0.0039503844597159775,0.02475520223379135,0.04495288476347924,0.1815340445090459,-6.811553738150981e-06,0.0010747343567136685,0.0,0.00029329620017930485,0.0033632820844650274,0.010450479571180137,0.001074755941953833,344250,344250,2015-04-01,2015-07-21,1,1,MAM=-0.000535,
source_val,2892,10,US-R2|US-R3|US-R4|US-R5|US-R6,0.210113525390625,0.210113525390625,1.0,0.157842493683724,0.14380237697304118,0.15827657531666034,0.14394938714766234,0.00036980379732648965,0.004864931821471789,0.0,0.016734554171562235,0.0009790444972078785,0.00530219376087188,0.02137571990489963,0.16978636634135938,3.9183646132094146e-05,0.0004487573530147473,0.0,9.091552266865947e-05,0.0018634808063507091,0.004878966744685367,0.0004504647822072306,344250,344250,2021-01-01,2021-05-09,1,1,DJF=0.000370,
target_support,0,0,US-R1,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,0,,
target_query,3359,10,US-R1,0.027374267578125,0.027374267578125,1.0,0.16403049149821924,0.13964266873668896,0.16385270522202347,0.13963782882695866,0.001005456373760001,0.005713405472076242,0.0,0.029863315969705678,0.001536884667100582,0.010824747011065469,0.029953670948743835,0.17324715138136695,0.00019786351469398342,0.0010814216153931704,0.0,0.0002357044819131942,0.005942489728331575,0.0058012019968180185,0.0010993737675088623,44850,44850,2023-01-01,2023-02-25,1,1,DJF=0.001005,
