split,variable,n_samples,analysis_rmse_latw,increment_rmse_latw,analysis_rmse_sqrt_before_time_avg_mean_latw,increment_rmse_sqrt_before_time_avg_mean_latw,analysis_rmse,increment_rmse,analysis_skill_vs_forecast,rmse_ratio_latw_vs_unweighted,valid_pixel_fraction_mean
source_val,rootzone,329555,0.0012938281404357725,0.0012938281404418848,0.0008521962200005481,0.0008521962200018604,0.0008517386727771502,0.0008517386727784116,0.0,1.5190435538369538,0.19832223381422967
source_val,surface,329555,0.009006865050035695,0.009006865047029534,0.007787114480609978,0.007787114478804622,0.0078037492167253066,0.007803749214921014,0.0,1.1541715142167592,0.19832223381422967
target_query,rootzone,382926,0.0011099289107149998,0.0011099289107149998,0.000846215825884046,0.000846215825884046,0.00035615826054028,0.00035615826054028,0.0,3.1163924403473757,0.03958129882812501
target_query,surface,382926,0.0074085364677286365,0.0074085364656802585,0.008396256795277859,0.00839625679385284,0.0035347378022676746,0.0035347378016667074,0.0,2.095922493310753,0.03958129882812501
