split,target_region_id,variable,n_samples,analysis_rmse_latw,increment_rmse_latw,analysis_rmse,increment_rmse,analysis_skill_vs_forecast,valid_pixel_fraction_mean
target_context,US-R1,rootzone,228,0.000862229134429813,0.000862229134429813,0.0007018179575882844,0.0007018179575882844,0.0,0.027374267578125
target_context,US-R1,surface,228,0.010834593485935075,0.01083459348580924,0.010019381746582337,0.010019381746441335,0.0,0.027374267578125
target_context,US-R2,rootzone,228,0.0033056753387065364,0.0033056753387065364,0.002245638320172979,0.002245638320172979,0.0,0.037078857421875
target_context,US-R2,surface,228,0.022249933757908093,0.022249933756284434,0.02063355072269035,0.020633550721073358,0.0,0.037078857421875
target_context,US-R3,rootzone,190,0.0006018124575851396,0.0006018124575851396,0.0005579747666647475,0.0005579747666647475,0.0,0.016271972656249994
target_context,US-R3,surface,190,0.010065826630792475,0.010065826630085142,0.009490302198351112,0.009490302197649323,0.0,0.016271972656249994
target_context,US-R4,rootzone,152,0.0014509892701416618,0.0014509892701416618,0.001305891022753591,0.001305891022753591,0.0,0.04921874999999999
target_context,US-R4,surface,152,0.018234120016096155,0.018234120015918138,0.01630104842640014,0.01630104842620899,0.0,0.04921874999999999
target_context,US-R5,rootzone,228,0.0006472503119669845,0.0006472503119669845,0.0006179683489007568,0.0006179683489007568,0.0,0.0709228515625
target_context,US-R5,surface,228,0.006776912454279306,0.0067769124543403106,0.006689557387053908,0.006689557387125135,0.0,0.0709228515625
target_context,US-R6,rootzone,152,0.0007950525988565435,0.0007950525988565435,0.0007739156910201701,0.0007739156910201701,0.0,0.03662109375
target_context,US-R6,surface,152,0.01130770129861066,0.011307701298412225,0.01103067547865107,0.011030675478391594,0.0,0.03662109375
